image_name,event_name,latitude,longitude,start_date,end_date,n_days,zoom,min_lat,max_lat,min_lon,max_lon
20899673.png,20899673,41.741343,-123.60706,2017-08-08,2017-09-14,38,8,40.737475,42.74521,-124.607559,-122.606562
20899721.png,20899721,41.41458,-123.127023,2017-08-12,2017-09-13,33,8,40.410713,42.418448,-124.129206,-122.12484
20899766.png,20899766,40.292809,-119.394523,2017-08-29,2017-09-07,10,8,39.288942,41.296677,-120.396706,-118.39234
20899813.png,20899813,36.132487,-118.700574,2017-08-26,2017-09-19,25,9,35.128619,37.136354,-119.702757,-117.698391
20899892.png,20899892,46.999856,-121.412364,2017-08-10,2017-09-11,33,8,45.995988,48.003723,-122.414547,-120.410181
20899967.png,20899967,44.961803,-121.227086,2017-08-09,2017-08-24,16,8,43.957936,45.96567,-122.229269,-120.224903
20900040.png,20900040,43.429052,-119.879613,2017-08-01,2017-08-05,5,8,42.425185,44.43292,-120.881796,-118.87743
20900085.png,20900085,43.206719,-114.127588,2017-08-04,2017-08-13,10,8,42.202852,44.210587,-115.128087,-113.12709
20900124.png,20900124,42.876589,-114.585729,2017-08-05,2017-08-15,11,8,41.872721,43.880456,-115.586228,-113.58523
20900131.png,20900131,42.721629,-112.584732,2017-08-04,2017-08-13,10,8,41.717762,43.725496,-113.58523,-111.584233
20901111.png,20901111,45.86461,-106.034329,2017-08-28,2017-09-04,8,8,44.860742,46.868477,-107.036512,-105.032146
20901127.png,20901127,44.965172,-106.443624,2017-08-31,2017-09-06,7,8,43.961304,45.969039,-107.444122,-105.443125
21038333.png,21038333,45.601853,-121.932825,2017-09-01,2017-09-14,14,8,44.597985,46.60572,-122.933324,-120.932326
21158900.png,21158900,39.336103,-123.206187,2017-10-04,2017-10-19,16,9,38.332236,40.339971,-124.206686,-122.205688
21158932.png,21158932,38.554569,-122.678988,2017-10-06,2017-10-19,14,8,37.550702,39.558436,-123.681171,-121.676805
21158939.png,21158939,38.379398,-122.234322,2017-10-06,2017-10-21,16,8,37.37553,39.383265,-123.236505,-121.232139
21158940.png,21158940,38.376029,-122.47013,2017-10-06,2017-10-24,19,8,37.372162,39.379896,-123.472313,-121.467947
21693566.png,21693566,38.557938,-96.465587,2018-04-02,2018-04-21,20,8,37.55407,39.561805,-97.466085,-95.465088
21748801.png,21748801,33.713773,-108.51031,2018-05-21,2018-06-21,32,9,32.709905,34.71764,-109.512493,-107.508127
21751303.png,21751303,37.493434,-107.903948,2018-05-30,2018-07-09,41,8,36.489567,38.497302,-108.906131,-106.901765
21751305.png,21751305,36.536728,-105.027093,2018-05-29,2018-06-06,9,9,35.532861,37.540596,-106.029276,-104.02491
21751309.png,21751309,34.906286,-101.213745,2018-05-08,2018-05-18,11,9,33.902419,35.910153,-102.215927,-100.211562
21804582.png,21804582,38.665736,-122.170317,2018-06-29,2018-07-09,11,8,37.661868,39.669603,-123.1725,-121.168134
21804884.png,21804884,45.059495,-121.014859,2018-06-20,2018-06-29,10,8,44.055627,46.063362,-122.017042,-120.012676
21804985.png,21804985,37.547333,-105.151734,2018-06-26,2018-07-07,12,8,36.543466,38.5512,-106.153917,-104.149551
21889717.png,21889717,41.963676,-122.530766,2018-07-03,2018-07-09,7,8,40.959808,42.967543,-123.532949,-121.528583
21889750.png,21889750,39.811088,-119.502321,2018-07-26,2018-08-03,9,8,38.80722,40.814955,-120.504504,-118.500138
21889763.png,21889763,39.059871,-123.025963,2018-07-27,2018-08-10,15,8,38.056004,40.063739,-124.028145,-122.02378
21889779.png,21889779,37.63155,-119.807187,2018-07-12,2018-08-14,34,9,36.627683,38.635417,-120.807685,-118.806688
21889943.png,21889943,47.815077,-120.489345,2018-07-27,2018-09-01,37,8,46.811209,48.818944,-121.491528,-119.487162
21889953.png,21889953,46.858371,-120.08005,2018-07-19,2018-07-25,7,8,45.854504,47.862238,-121.080548,-119.079551
21889992.png,21889992,45.500792,-120.902008,2018-07-16,2018-07-23,8,8,44.496925,46.504659,-121.902507,-119.90151
21889994.png,21889994,45.359307,-121.058652,2018-07-26,2018-08-05,11,8,44.35544,46.363175,-122.060835,-120.056469
21890003.png,21890003,44.857374,-114.233702,2018-07-29,2018-08-26,29,8,43.853506,45.861241,-115.235885,-113.231519
21890009.png,21890009,44.658621,-116.355972,2018-07-22,2018-08-09,19,8,43.654754,45.662489,-117.358155,-115.353789
21890013.png,21890013,44.14995,-111.990159,2018-07-24,2018-08-04,12,8,43.146083,45.153818,-112.992342,-110.987976
21890024.png,21890024,43.540219,-114.061899,2018-07-25,2018-08-09,16,8,42.536352,44.544086,-115.064082,-113.059716
21890056.png,21890056,42.135478,-115.628336,2018-07-23,2018-07-31,9,8,41.131611,43.139346,-116.630519,-114.626153
21890072.png,21890072,41.599858,-116.99939,2018-07-03,2018-07-13,11,8,40.595991,42.603725,-118.001573,-115.997207
21890160.png,21890160,38.497302,-108.658532,2018-07-29,2018-08-23,26,8,37.493434,39.501169,-109.660715,-107.656349
21890502.png,21890502,49.101913,-119.815608,2018-07-18,2018-08-29,43,8,48.098046,50.105781,-120.817791,-118.813425
21890524.png,21890524,48.365856,-120.465764,2018-07-31,2018-09-11,43,8,47.363673,49.368039,-121.467947,-119.463581
21997770.png,21997770,41.424686,-121.018228,2018-08-15,2018-08-28,14,8,40.420819,42.428554,-122.020411,-120.016045
21997828.png,21997828,38.379398,-119.825714,2018-08-01,2018-08-23,23,8,37.37553,39.383265,-120.827897,-118.823531
21998023.png,21998023,47.922875,-119.227773,2018-08-07,2018-08-14,8,8,46.919007,48.926742,-120.228272,-118.227275
21998095.png,21998095,45.227929,-120.432077,2018-08-15,2018-09-01,18,8,44.224061,46.231796,-121.43426,-119.429894
21998230.png,21998230,42.620569,-120.733574,2018-08-14,2018-08-28,15,8,41.616701,43.624436,-121.734073,-119.733076
21998264.png,21998264,41.727868,-116.003944,2018-08-14,2018-09-01,19,8,40.724001,42.731735,-117.004443,-115.003446
21998287.png,21998287,40.808218,-116.807375,2018-08-17,2018-08-22,6,8,39.80435,41.812085,-117.809558,-115.805192
21998313.png,21998313,39.918885,-111.316423,2018-08-02,2018-08-25,24,9,38.915018,40.922753,-112.318606,-110.31424
21999381.png,21999381,42.101792,-105.296587,2018-08-23,2018-09-09,18,8,41.097924,43.105659,-106.29877,-104.294404
22141509.png,22141509,43.071972,-110.405194,2018-09-14,2018-09-27,14,9,42.068105,44.075839,-111.405693,-109.404696
22141596.png,22141596,39.949204,-111.558968,2018-09-08,2018-09-26,19,9,38.945336,40.953071,-112.561151,-110.556785
22343661.png,22343661,39.75382,-121.582482,2018-11-07,2018-11-18,12,8,38.749953,40.757687,-122.582981,-120.581983
22343688.png,22343688,34.118014,-118.801635,2018-11-07,2018-11-16,10,8,33.114147,35.121882,-119.803818,-117.799452
22712904.png,22712904,38.507408,-96.465587,2019-03-26,2019-04-10,16,8,37.50354,39.511275,-97.466085,-95.465088
22712973.png,22712973,38.177277,-96.625599,2019-03-21,2019-04-12,23,9,37.173409,39.181144,-97.627782,-95.623416
22938749.png,22938749,33.498177,-111.191782,2019-06-08,2019-06-30,23,8,32.49431,34.502044,-112.193965,-110.189599
23036806.png,23036806,46.474341,-119.697704,2019-07-17,2019-07-22,6,8,45.470474,47.478209,-120.699887,-118.695521
23036871.png,23036871,43.634542,-112.764956,2019-07-20,2019-07-27,8,8,42.630675,44.638409,-113.767139,-111.762773
23159836.png,23159836,42.674468,-115.520538,2019-08-04,2019-08-10,7,8,41.6706,43.678335,-116.522721,-114.518355
23160475.png,23160475,47.973405,-118.491716,2019-08-01,2019-08-16,16,8,46.969538,48.977272,-119.493899,-117.489533
23300669.png,23300669,40.090688,-120.597143,2019-09-03,2019-09-18,16,8,39.086821,41.094556,-121.599326,-119.59496
23410594.png,23410594,38.685948,-122.769943,2019-10-22,2019-10-31,10,8,37.68208,39.689815,-123.772126,-121.76776
23860939.png,23860939,38.456877,-96.632337,2020-03-23,2020-04-11,20,8,37.45301,39.460745,-97.63452,-95.630154
24103557.png,24103557,36.769167,-112.23102,2020-06-09,2020-06-29,21,8,35.7653,37.773035,-113.231519,-111.230521
24103571.png,24103571,33.760934,-111.370322,2020-06-12,2020-06-29,18,9,32.757067,34.764801,-112.372505,-110.368139
24103581.png,24103581,33.501546,-110.349611,2020-06-06,2020-06-14,9,8,32.497678,34.505413,-111.351794,-109.347428
24103611.png,24103611,32.440411,-110.753853,2020-06-05,2020-07-05,31,9,31.436543,33.444278,-111.756036,-109.75167
24104631.png,24104631,39.470851,-112.234389,2020-06-25,2020-07-05,11,8,38.466983,40.474718,-113.234887,-111.23389
24191347.png,24191347,41.734605,-121.454472,2020-07-21,2020-08-01,12,8,40.730738,42.738473,-122.454971,-120.453974
24191376.png,24191376,37.186884,-114.607625,2020-07-03,2020-07-12,10,9,36.183017,38.190751,-115.609808,-113.605442
24191393.png,24191393,36.183017,-120.56514,2020-07-13,2020-07-21,9,8,35.179149,37.186884,-121.565639,-119.564641
24191418.png,24191418,34.02706,-116.857905,2020-07-31,2020-08-11,12,8,33.023193,35.030927,-117.860088,-115.855722
24191427.png,24191427,33.440909,-110.258657,2020-07-12,2020-07-28,17,8,32.437042,34.444777,-111.26084,-109.256474
24332592.png,24332592,41.097924,-120.081734,2020-08-15,2020-09-06,23,8,40.094057,42.101792,-121.083917,-119.079551
24332608.png,24332608,41.104662,-123.393149,2020-08-23,2020-10-11,50,8,40.100794,42.108529,-124.395332,-122.390966
24332622.png,24332622,40.326496,-120.726837,2020-08-18,2020-09-06,20,8,39.322629,41.330363,-121.727335,-119.726338
24332647.png,24332647,39.726871,-121.201821,2020-08-15,2020-10-04,51,8,38.723003,40.730738,-122.20232,-120.201322
24332676.png,24332676,39.706658,-120.112052,2020-08-13,2020-08-20,8,8,38.702791,40.710526,-121.114235,-119.109869
24332702.png,24332702,38.621943,-123.022594,2020-08-16,2020-08-26,11,8,37.618075,39.62581,-124.024777,-122.020411
24332704.png,24332704,38.524251,-119.566326,2020-08-29,2020-09-15,18,8,37.520384,39.528118,-120.568509,-118.564143
24332732.png,24332732,37.341843,-121.439313,2020-08-12,2020-09-03,23,8,36.337976,38.345711,-122.441496,-120.43713
24332746.png,24332746,37.14646,-122.236006,2020-08-16,2020-08-31,16,9,36.142593,38.150327,-123.236505,-121.235508
24332760.png,24332760,36.481145,-121.563954,2020-08-17,2020-08-26,10,9,35.478962,37.483328,-122.566137,-120.561771
24332763.png,24332763,36.209966,-118.535509,2020-08-20,2020-10-10,52,8,35.206099,37.213834,-119.537692,-117.533326
24332764.png,24332764,36.076903,-121.469631,2020-08-16,2020-09-21,37,9,35.07472,37.079086,-122.471814,-120.467448
24332783.png,24332783,35.293685,-115.587912,2020-08-15,2020-08-19,5,8,34.289817,36.297552,-116.590095,-114.585729
24332787.png,24332787,34.6789,-118.557405,2020-08-11,2020-08-23,13,8,33.676717,35.681083,-119.557904,-117.556907
24332801.png,24332801,33.531864,-110.635949,2020-08-17,2020-08-29,13,8,32.527996,34.535731,-111.638132,-109.633766
24332880.png,24332880,46.841528,-120.647673,2020-08-26,2020-09-07,13,8,45.83766,47.845395,-121.649856,-119.64549
24332939.png,24332939,44.806843,-122.146736,2020-08-19,2020-09-30,43,8,43.802976,45.810711,-123.148919,-121.144553
24332956.png,24332956,43.92088,-117.942621,2020-08-14,2020-08-31,18,8,42.917013,44.924747,-118.944804,-116.940438
24333000.png,24333000,40.589253,-110.59384,2020-08-22,2020-09-26,36,8,39.585386,41.593121,-111.594339,-109.593342
24333012.png,24333012,40.643152,-105.640193,2020-08-31,2020-09-17,18,8,39.639285,41.647019,-106.642376,-104.63801
24333033.png,24333033,39.598861,-107.199893,2020-08-09,2020-08-28,20,8,38.594993,40.602728,-108.202076,-106.19771
24333039.png,24333039,39.433795,-108.543997,2020-08-01,2020-08-30,30,9,38.429928,40.437663,-109.54618,-107.541814
24333270.png,24333270,46.319382,-108.373879,2020-08-31,2020-09-09,10,8,45.315515,47.323249,-109.374377,-107.37338
24333277.png,24333277,45.851135,-106.132021,2020-08-31,2020-09-05,6,8,44.847268,46.855002,-107.134204,-105.129838
24333279.png,24333279,45.672595,-107.021353,2020-08-31,2020-09-09,10,8,44.668728,46.676462,-108.023536,-106.01917
24461320.png,24461320,42.532983,-122.6992,2020-09-04,2020-09-19,16,9,41.529116,43.53685,-123.701383,-121.697017
24461328.png,24461328,41.943464,-123.500947,2020-09-04,2020-09-27,24,8,40.939596,42.947331,-124.50313,-122.498764
24461421.png,24461421,40.437663,-122.625089,2020-09-27,2020-10-02,6,9,39.433795,41.44153,-123.627272,-121.622906
24461607.png,24461607,38.541094,-122.54761,2020-09-26,2020-10-06,11,8,37.537227,39.544962,-123.549793,-121.545427
24461771.png,24461771,34.33361,-117.93083,2020-09-04,2020-09-27,24,9,33.329743,35.337477,-118.931329,-116.930332
24461899.png,24461899,48.044147,-119.542745,2020-09-02,2020-09-23,22,8,47.04028,49.048015,-120.544928,-118.540562
24461996.png,24461996,47.616325,-118.495085,2020-09-02,2020-09-10,9,8,46.612457,48.620192,-119.497268,-117.492902
24462263.png,24462263,45.113394,-122.230953,2020-09-03,2020-09-28,26,8,44.109526,46.117261,-123.233136,-121.22877
24462335.png,24462335,44.73947,-116.766951,2020-09-06,2020-09-27,22,8,43.735603,45.743337,-117.769134,-115.764768
24462488.png,24462488,44.153319,-122.48192,2020-09-03,2020-09-28,26,8,43.149452,45.157186,-123.482419,-121.481422
24462610.png,24462610,43.368416,-122.938377,2020-09-03,2020-09-29,27,8,42.364549,44.372283,-123.94056,-121.936194
24462753.png,24462753,42.6172,-120.566824,2020-09-07,2020-09-26,20,8,41.613333,43.621067,-121.569007,-119.564641
24462788.png,24462788,42.226433,-114.200015,2020-09-12,2020-09-27,16,8,41.222565,43.2303,-115.202198,-113.197832
24462819.png,24462819,41.104662,-106.28698,2020-09-17,2020-10-10,24,8,40.100794,42.108529,-107.289163,-105.284797
24462847.png,24462847,40.727369,-105.677249,2020-09-03,2020-10-07,35,8,39.723502,41.731237,-106.679432,-104.675066
24463187.png,24463187,47.326618,-106.839444,2020-09-01,2020-09-03,3,8,46.322751,48.330485,-107.841627,-105.837261
US_2021_AZ3345510938920210616.png,US_2021_AZ3345510938920210616,33.481334,-109.376062,2021-06-16,2021-07-05,20,8,32.477466,34.485201,-110.378245,-108.373879
US_2021_AZ3368910927620210616.png,US_2021_AZ3368910927620210616,33.686823,-109.312057,2021-06-16,2021-07-07,22,9,32.682956,34.69069,-110.31424,-108.309874
US_2021_CA3451712013120211011.png,US_2021_CA3451712013120211011,34.495307,-120.112052,2021-10-05,2021-10-16,12,8,33.49144,35.499174,-121.114235,-119.109869
US_2021_CA3568711855020210818.png,US_2021_CA3568711855020210818,35.697926,-118.565827,2021-08-19,2021-09-09,22,8,34.694059,36.701794,-119.56801,-117.563644
US_2021_CA3604711863120210910.png,US_2021_CA3604711863120210910,35.974158,-118.606251,2021-09-10,2021-10-05,26,9,34.970291,36.978026,-119.608434,-117.604068
US_2021_CA3627811855020210815.png,US_2021_CA3627811855020210815,36.307658,-118.545615,2021-08-14,2021-09-01,19,8,35.303791,37.311525,-119.547798,-117.543432
US_2021_CA3658211879520210912.png,US_2021_CA3658211879520210912,36.580521,-118.801635,2021-09-09,2021-10-29,51,9,35.576654,37.584389,-119.803818,-117.799452
US_2021_CA4086312235520210630.png,US_2021_CA4086312235520210630,40.909278,-122.364016,2021-06-29,2021-07-08,10,8,39.905411,41.913145,-123.364515,-121.363518
US_2021_FL2521008104520210308.png,US_2021_FL2521008104520210308,25.224693,-81.053865,2021-02-28,2021-03-13,14,9,24.220826,26.228561,-82.054364,-80.053367
US_2021_ID4453211532920210810.png,US_2021_ID4453211532920210810,44.597985,-115.181986,2021-08-06,2021-10-03,59,8,43.594118,45.601853,-116.182484,-114.181487
US_2021_ID4558511544420210705.png,US_2021_ID4558511544420210705,45.537848,-115.385791,2021-07-04,2021-08-28,55,8,44.53398,46.541715,-116.387974,-114.383608
US_2021_ID4663811466720210707.png,US_2021_ID4663811466720210707,46.649513,-114.637944,2021-07-09,2021-07-31,23,8,45.645645,47.65338,-115.640127,-113.635761
US_2021_ID4762711608320210708.png,US_2021_ID4762711608320210708,47.629799,-115.965204,2021-07-08,2021-09-04,58,8,46.625932,48.633667,-116.967387,-114.963021
US_2021_MT4568311385420210708.png,US_2021_MT4568311385420210708,45.625433,-113.765455,2021-07-06,2021-09-18,74,8,44.621566,46.629301,-114.767638,-112.763272
US_2021_MT4579011310120210708.png,US_2021_MT4579011310120210708,45.800605,-113.15067,2021-07-09,2021-10-04,87,8,44.796737,46.804472,-114.151169,-112.150172
US_2021_MT4714310953420211004.png,US_2021_MT4714310953420211004,47.185133,-109.524284,2021-10-02,2021-10-25,24,8,46.181266,48.189001,-110.526467,-108.522101
US_2021_NM3323810847220210520.png,US_2021_NM3323810847220210520,33.191627,-108.473255,2021-05-17,2021-06-23,38,9,32.18776,34.195494,-109.475438,-107.471072
US_2021_NM3340210587120210426.png,US_2021_NM3340210587120210426,33.424066,-105.832208,2021-04-23,2021-05-02,10,8,32.420199,34.427933,-106.834391,-104.830025
US_2021_NM3344410803520210514.png,US_2021_NM3344410803520210514,33.461121,-108.069013,2021-05-15,2021-06-06,23,8,32.457254,34.464989,-109.071196,-107.06683
US_2021_NM3676810505920211120.png,US_2021_NM3676810505920211120,36.769167,-105.054042,2021-11-19,2021-12-17,29,8,35.7653,37.773035,-106.056225,-104.051859
US_2021_WA4828511853120210713.png,US_2021_WA4828511853120210713,48.374278,-118.43108,2021-07-13,2021-09-17,66,8,47.370411,49.378145,-119.433263,-117.428897
US_2021_WA4856812048820210708.png,US_2021_WA4856812048820210708,48.505657,-120.430393,2021-07-10,2021-08-16,37,8,47.501789,49.509524,-121.430891,-119.429894
US_2021_WA4877811903420210803.png,US_2021_WA4877811903420210803,48.788626,-119.077867,2021-07-10,2021-08-28,49,8,47.784759,49.792493,-120.08005,-118.075684
US_2021_WA4879111827120210805.png,US_2021_WA4879111827120210805,48.785257,-118.279489,2021-08-07,2021-09-01,26,8,47.78139,49.789125,-119.281672,-117.277306
blue_ridge_fire.png,blue_ridge_fire,33.882207,-117.679864,2020-10-26,2020-11-04,10,8,32.878339,34.886074,-118.682047,-116.677681
calfcanyon_fire.png,calfcanyon_fire,35.761931,-105.500393,2022-04-05,2022-04-14,10,8,34.758064,36.765799,-106.500891,-104.499894
camp_fire.png,camp_fire,39.811088,-121.429207,2018-11-08,2018-11-17,10,8,38.80722,40.814955,-122.43139,-120.427024
carr_fire.png,carr_fire,40.653258,-122.620036,2018-07-23,2018-08-01,10,8,39.649391,41.657126,-123.620535,-121.619538
chuckegg_creek_fire.png,chuckegg_creek_fire,58.382633,-117.420475,2019-05-15,2019-05-24,10,8,57.378766,59.386501,-118.422658,-116.418292
creek_fire.png,creek_fire,37.203727,-119.3002,2020-09-05,2020-09-14,10,9,36.19986,38.207595,-120.302383,-118.298017
dixie_fire.png,dixie_fire,39.811088,-121.419101,2021-07-14,2021-07-23,10,8,38.80722,40.814955,-122.421284,-120.416918
double_creek_fire.png,double_creek_fire,45.43005,-116.729895,2022-08-29,2022-09-07,10,8,44.426182,46.433917,-117.732078,-115.727712
eagle_bluff_fire.png,eagle_bluff_fire,49.421938,-119.498952,2019-08-05,2019-08-14,10,8,48.418071,50.425806,-120.501135,-118.496769
elephant_hill_fire.png,elephant_hill_fire,51.00185,-121.280985,2017-07-06,2017-07-15,10,8,49.997983,52.005718,-122.283168,-120.278802
lytton_fire.png,lytton_fire,50.280952,-121.565639,2021-06-29,2021-07-08,10,8,49.277085,51.28482,-122.566137,-120.56514
mosquito_fire.png,mosquito_fire,39.002604,-120.740312,2022-09-03,2022-09-12,10,8,37.998737,40.006471,-121.74081,-119.739813
sparks_lake_fire.png,sparks_lake_fire,50.921002,-120.789157,2021-06-28,2021-07-07,10,8,49.917135,51.924869,-121.79134,-119.786974
swedish_fire.png,swedish_fire,61.798477,14.515652,2018-07-14,2018-07-23,10,8,60.79461,62.802344,13.515153,15.516151
sydney_fire.png,sydney_fire,-35.502543,150.116906,2019-11-26,2019-12-05,10,9,-36.50641,-34.498676,149.114723,151.119089
thomas_fire.png,thomas_fire,34.421196,-119.089657,2017-12-04,2017-12-13,10,9,33.417329,35.425063,-120.090156,-118.089159
tubbs_fire.png,tubbs_fire,38.611837,-122.628458,2017-10-08,2017-10-17,10,8,37.607969,39.615704,-123.630641,-121.626275
